Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 21:20:29 2019,process LMZ,B2,magdzi83,3,0,1,Rsq. IV. Error,1310.0,0.9986443285152712,-6.123274326324463,0.98897872393528,-3.902045e-11,-1.218548e-10,-1.334181e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 23:00:49 2019,process LMZ,B2,magdzi83,-1,-1,0,No Error,1310.0,0.9984659401499646,-6.047950267791748,0.9999999971712544,6.054034e-07,3.047158e-07,-0.004221569
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 23:09:16 2019,process LMZ,B2,magdzi83,-1,-3,0,No Error,1310.0,0.9993191170845428,-5.8119635581970215,0.9999999944205328,5.953915e-07,2.998289e-07,-0.002944735
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Tue Jun 04 00:33:52 2019,process LMZ,B2,magdzi83,-1,3,0,No Error,1310.0,0.9990405986517953,-6.950124740600586,0.9999999985382018,4.60699e-07,2.330585e-07,-0.004511872
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 23:51:33 2019,process LMZ,B2,magdzi83,-3,-3,0,No Error,1310.0,0.9987695625037004,-6.873162746429443,0.9999999906528,5.042889e-07,2.549133e-07,-0.00192262
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 23:34:39 2019,process LMZ,B2,magdzi83,-3,0,0,No Error,1310.0,0.9990775870662527,-5.289656639099121,0.9999999968675161,5.264893e-07,2.656578e-07,-0.003493654
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Tue Jun 04 00:42:19 2019,process LMZ,B2,magdzi83,-3,2,0,No Error,1310.0,0.999126860387362,-7.084487438201904,0.9999999985093978,4.461541e-07,2.258531e-07,-0.004335667
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 23:43:07 2019,process LMZ,B2,magdzi83,-4,-1,0,No Error,1310.0,0.998818819356826,-7.17369270324707,0.9999999928290866,5.217197e-07,2.633351e-07,-0.00227457
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Tue Jun 04 00:00:00 2019,process LMZ,B2,magdzi83,0,-4,0,No Error,1310.0,0.9992200030118538,-6.363166809082031,0.9999999924735974,5.035214e-07,2.544434e-07,-0.002145134
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:52:23 2019,process LMZ,B2,magdzi83,0,0,0,No Error,1310.0,0.9982940004569133,-5.87237024307251,0.9999999981119794,6.071365e-07,3.055918e-07,-0.005187034
